link,queue,start,end,cycle
"(4, 5)",0,0,19200,1000000
"(4, 5)",0,19200,24000,1000000
"(4, 5)",0,24000,25200,1000000
"(4, 5)",1,25200,30000,1000000
"(4, 5)",0,30000,31200,1000000
"(4, 5)",7,31200,36000,1000000
"(4, 5)",0,36000,37200,1000000
"(4, 5)",7,37200,42000,1000000
"(4, 5)",0,42000,43200,1000000
"(4, 5)",1,43200,48000,1000000
"(4, 5)",0,48000,49200,1000000
"(4, 5)",1,49200,54000,1000000
"(4, 5)",0,54000,55200,1000000
"(4, 5)",1,55200,60000,1000000
"(4, 5)",0,60000,61200,1000000
"(4, 5)",1,61200,66000,1000000
"(4, 5)",0,66000,67200,1000000
"(4, 5)",7,67200,72000,1000000
"(4, 5)",0,72000,73200,1000000
"(4, 5)",0,73200,78000,1000000
"(4, 5)",0,78000,79200,1000000
"(4, 5)",0,79200,84000,1000000
"(4, 5)",0,84000,85200,1000000
"(4, 5)",7,85200,90000,1000000
"(4, 5)",0,90000,91200,1000000
"(4, 5)",1,91200,96000,1000000
"(4, 5)",0,96000,97200,1000000
"(4, 5)",1,97200,102000,1000000
"(4, 5)",0,102000,103200,1000000
"(4, 5)",0,103200,108000,1000000
"(4, 5)",0,108000,109200,1000000
"(4, 5)",0,109200,114000,1000000
"(4, 5)",0,114000,115200,1000000
"(4, 5)",0,115200,120000,1000000
"(4, 5)",0,120000,121200,1000000
"(4, 5)",0,121200,126000,1000000
"(4, 5)",0,126000,127200,1000000
"(4, 5)",0,127200,132000,1000000
"(4, 5)",0,132000,133200,1000000
"(4, 5)",0,133200,138000,1000000
"(4, 5)",0,138000,139200,1000000
"(4, 5)",0,139200,144000,1000000
"(4, 5)",0,144000,145200,1000000
"(5, 4)",0,0,19200,1000000
"(5, 4)",0,19200,24000,1000000
"(5, 4)",0,24000,25200,1000000
"(5, 4)",2,25200,30000,1000000
"(5, 4)",0,30000,31200,1000000
"(5, 4)",7,31200,36000,1000000
"(5, 4)",0,36000,37200,1000000
"(5, 4)",2,37200,42000,1000000
"(5, 4)",0,42000,43200,1000000
"(5, 4)",1,43200,48000,1000000
"(5, 4)",0,48000,49200,1000000
"(5, 4)",1,49200,54000,1000000
"(5, 4)",0,54000,55200,1000000
"(5, 4)",0,55200,60000,1000000
"(5, 4)",0,60000,61200,1000000
"(5, 4)",5,61200,66000,1000000
"(5, 4)",0,66000,67200,1000000
"(5, 4)",7,67200,72000,1000000
"(5, 4)",0,72000,73200,1000000
"(5, 4)",0,73200,78000,1000000
"(5, 4)",0,78000,79200,1000000
"(5, 4)",0,79200,84000,1000000
"(5, 4)",0,84000,85200,1000000
"(5, 4)",2,85200,90000,1000000
"(5, 4)",0,90000,91200,1000000
"(5, 4)",1,91200,96000,1000000
"(5, 4)",0,96000,97200,1000000
"(5, 4)",5,97200,102000,1000000
"(5, 4)",0,102000,103200,1000000
"(5, 4)",2,103200,108000,1000000
"(5, 4)",0,108000,109200,1000000
"(5, 4)",0,109200,114000,1000000
"(5, 4)",0,114000,115200,1000000
"(5, 4)",0,115200,120000,1000000
"(5, 4)",0,120000,121200,1000000
"(5, 4)",0,121200,126000,1000000
"(5, 4)",0,126000,127200,1000000
"(5, 4)",0,127200,132000,1000000
"(5, 4)",0,132000,133200,1000000
"(5, 4)",0,133200,138000,1000000
"(5, 4)",0,138000,139200,1000000
"(5, 4)",0,139200,144000,1000000
"(5, 4)",0,144000,145200,1000000
"(5, 6)",0,0,19200,1000000
"(5, 6)",0,19200,24000,1000000
"(5, 6)",0,24000,25200,1000000
"(5, 6)",1,25200,30000,1000000
"(5, 6)",0,30000,31200,1000000
"(5, 6)",1,31200,36000,1000000
"(5, 6)",0,36000,37200,1000000
"(5, 6)",1,37200,42000,1000000
"(5, 6)",0,42000,43200,1000000
"(5, 6)",0,43200,48000,1000000
"(5, 6)",0,48000,49200,1000000
"(5, 6)",1,49200,54000,1000000
"(5, 6)",0,54000,55200,1000000
"(5, 6)",1,55200,60000,1000000
"(5, 6)",0,60000,61200,1000000
"(5, 6)",0,61200,66000,1000000
"(5, 6)",0,66000,67200,1000000
"(5, 6)",1,67200,72000,1000000
"(5, 6)",0,72000,73200,1000000
"(5, 6)",2,73200,78000,1000000
"(5, 6)",0,78000,79200,1000000
"(5, 6)",0,79200,84000,1000000
"(5, 6)",0,84000,85200,1000000
"(5, 6)",1,85200,90000,1000000
"(5, 6)",0,90000,91200,1000000
"(5, 6)",1,91200,96000,1000000
"(5, 6)",0,96000,97200,1000000
"(5, 6)",0,97200,102000,1000000
"(5, 6)",0,102000,103200,1000000
"(5, 6)",1,103200,108000,1000000
"(5, 6)",0,108000,109200,1000000
"(5, 6)",0,109200,114000,1000000
"(5, 6)",0,114000,115200,1000000
"(5, 6)",0,115200,120000,1000000
"(5, 6)",0,120000,121200,1000000
"(5, 6)",0,121200,126000,1000000
"(5, 6)",0,126000,127200,1000000
"(5, 6)",0,127200,132000,1000000
"(5, 6)",0,132000,133200,1000000
"(5, 6)",0,133200,138000,1000000
"(5, 6)",0,138000,139200,1000000
"(5, 6)",0,139200,144000,1000000
"(5, 6)",0,144000,145200,1000000
"(6, 5)",0,0,19200,1000000
"(6, 5)",0,19200,24000,1000000
"(6, 5)",0,24000,25200,1000000
"(6, 5)",1,25200,30000,1000000
"(6, 5)",0,30000,31200,1000000
"(6, 5)",2,31200,36000,1000000
"(6, 5)",0,36000,37200,1000000
"(6, 5)",1,37200,42000,1000000
"(6, 5)",0,42000,43200,1000000
"(6, 5)",1,43200,48000,1000000
"(6, 5)",0,48000,49200,1000000
"(6, 5)",1,49200,54000,1000000
"(6, 5)",0,54000,55200,1000000
"(6, 5)",5,55200,60000,1000000
"(6, 5)",0,60000,61200,1000000
"(6, 5)",1,61200,66000,1000000
"(6, 5)",0,66000,67200,1000000
"(6, 5)",6,67200,72000,1000000
"(6, 5)",0,72000,73200,1000000
"(6, 5)",6,73200,78000,1000000
"(6, 5)",0,78000,79200,1000000
"(6, 5)",3,79200,84000,1000000
"(6, 5)",0,84000,85200,1000000
"(6, 5)",1,85200,90000,1000000
"(6, 5)",0,90000,91200,1000000
"(6, 5)",5,91200,96000,1000000
"(6, 5)",0,96000,97200,1000000
"(6, 5)",3,97200,102000,1000000
"(6, 5)",0,102000,103200,1000000
"(6, 5)",0,103200,108000,1000000
"(6, 5)",0,108000,109200,1000000
"(6, 5)",2,109200,114000,1000000
"(6, 5)",0,114000,115200,1000000
"(6, 5)",0,115200,120000,1000000
"(6, 5)",0,120000,121200,1000000
"(6, 5)",0,121200,126000,1000000
"(6, 5)",0,126000,127200,1000000
"(6, 5)",0,127200,132000,1000000
"(6, 5)",0,132000,133200,1000000
"(6, 5)",0,133200,138000,1000000
"(6, 5)",0,138000,139200,1000000
"(6, 5)",0,139200,144000,1000000
"(6, 5)",0,144000,145200,1000000
"(6, 7)",0,0,19200,1000000
"(6, 7)",0,19200,24000,1000000
"(6, 7)",0,24000,25200,1000000
"(6, 7)",1,25200,30000,1000000
"(6, 7)",0,30000,31200,1000000
"(6, 7)",1,31200,36000,1000000
"(6, 7)",0,36000,37200,1000000
"(6, 7)",5,37200,42000,1000000
"(6, 7)",0,42000,43200,1000000
"(6, 7)",1,43200,48000,1000000
"(6, 7)",0,48000,49200,1000000
"(6, 7)",0,49200,54000,1000000
"(6, 7)",0,54000,55200,1000000
"(6, 7)",0,55200,60000,1000000
"(6, 7)",0,60000,61200,1000000
"(6, 7)",1,61200,66000,1000000
"(6, 7)",0,66000,67200,1000000
"(6, 7)",0,67200,72000,1000000
"(6, 7)",0,72000,73200,1000000
"(6, 7)",0,73200,78000,1000000
"(6, 7)",0,78000,79200,1000000
"(6, 7)",0,79200,84000,1000000
"(6, 7)",0,84000,85200,1000000
"(6, 7)",0,85200,90000,1000000
"(6, 7)",0,90000,91200,1000000
"(6, 7)",1,91200,96000,1000000
"(6, 7)",0,96000,97200,1000000
"(6, 7)",5,97200,102000,1000000
"(6, 7)",0,102000,103200,1000000
"(6, 7)",0,103200,108000,1000000
"(6, 7)",0,108000,109200,1000000
"(6, 7)",1,109200,114000,1000000
"(6, 7)",0,114000,115200,1000000
"(6, 7)",0,115200,120000,1000000
"(6, 7)",0,120000,121200,1000000
"(6, 7)",0,121200,126000,1000000
"(6, 7)",0,126000,127200,1000000
"(6, 7)",0,127200,132000,1000000
"(6, 7)",0,132000,133200,1000000
"(6, 7)",0,133200,138000,1000000
"(6, 7)",0,138000,139200,1000000
"(6, 7)",0,139200,144000,1000000
"(6, 7)",0,144000,145200,1000000
"(7, 6)",0,0,19200,1000000
"(7, 6)",0,19200,24000,1000000
"(7, 6)",0,24000,25200,1000000
"(7, 6)",3,25200,30000,1000000
"(7, 6)",0,30000,31200,1000000
"(7, 6)",1,31200,36000,1000000
"(7, 6)",0,36000,37200,1000000
"(7, 6)",1,37200,42000,1000000
"(7, 6)",0,42000,43200,1000000
"(7, 6)",4,43200,48000,1000000
"(7, 6)",0,48000,49200,1000000
"(7, 6)",7,49200,54000,1000000
"(7, 6)",0,54000,55200,1000000
"(7, 6)",6,55200,60000,1000000
"(7, 6)",0,60000,61200,1000000
"(7, 6)",6,61200,66000,1000000
"(7, 6)",0,66000,67200,1000000
"(7, 6)",0,67200,72000,1000000
"(7, 6)",0,72000,73200,1000000
"(7, 6)",6,73200,78000,1000000
"(7, 6)",0,78000,79200,1000000
"(7, 6)",0,79200,84000,1000000
"(7, 6)",0,84000,85200,1000000
"(7, 6)",4,85200,90000,1000000
"(7, 6)",0,90000,91200,1000000
"(7, 6)",1,91200,96000,1000000
"(7, 6)",0,96000,97200,1000000
"(7, 6)",6,97200,102000,1000000
"(7, 6)",0,102000,103200,1000000
"(7, 6)",6,103200,108000,1000000
"(7, 6)",0,108000,109200,1000000
"(7, 6)",4,109200,114000,1000000
"(7, 6)",0,114000,115200,1000000
"(7, 6)",0,115200,120000,1000000
"(7, 6)",0,120000,121200,1000000
"(7, 6)",0,121200,126000,1000000
"(7, 6)",0,126000,127200,1000000
"(7, 6)",0,127200,132000,1000000
"(7, 6)",0,132000,133200,1000000
"(7, 6)",0,133200,138000,1000000
"(7, 6)",0,138000,139200,1000000
"(7, 6)",0,139200,144000,1000000
"(7, 6)",0,144000,145200,1000000
"(7, 4)",0,0,19200,1000000
"(7, 4)",0,19200,24000,1000000
"(7, 4)",0,24000,25200,1000000
"(7, 4)",1,25200,30000,1000000
"(7, 4)",0,30000,31200,1000000
"(7, 4)",1,31200,36000,1000000
"(7, 4)",0,36000,37200,1000000
"(7, 4)",4,37200,42000,1000000
"(7, 4)",0,42000,43200,1000000
"(7, 4)",7,43200,48000,1000000
"(7, 4)",0,48000,49200,1000000
"(7, 4)",1,49200,54000,1000000
"(7, 4)",0,54000,55200,1000000
"(7, 4)",0,55200,60000,1000000
"(7, 4)",0,60000,61200,1000000
"(7, 4)",0,61200,66000,1000000
"(7, 4)",0,66000,67200,1000000
"(7, 4)",0,67200,72000,1000000
"(7, 4)",0,72000,73200,1000000
"(7, 4)",0,73200,78000,1000000
"(7, 4)",0,78000,79200,1000000
"(7, 4)",0,79200,84000,1000000
"(7, 4)",0,84000,85200,1000000
"(7, 4)",0,85200,90000,1000000
"(7, 4)",0,90000,91200,1000000
"(7, 4)",0,91200,96000,1000000
"(7, 4)",0,96000,97200,1000000
"(7, 4)",0,97200,102000,1000000
"(7, 4)",0,102000,103200,1000000
"(7, 4)",7,103200,108000,1000000
"(7, 4)",0,108000,109200,1000000
"(7, 4)",0,109200,114000,1000000
"(7, 4)",0,114000,115200,1000000
"(7, 4)",0,115200,120000,1000000
"(7, 4)",0,120000,121200,1000000
"(7, 4)",0,121200,126000,1000000
"(7, 4)",0,126000,127200,1000000
"(7, 4)",0,127200,132000,1000000
"(7, 4)",0,132000,133200,1000000
"(7, 4)",0,133200,138000,1000000
"(7, 4)",0,138000,139200,1000000
"(7, 4)",0,139200,144000,1000000
"(7, 4)",0,144000,145200,1000000
"(4, 7)",0,0,19200,1000000
"(4, 7)",0,19200,24000,1000000
"(4, 7)",0,24000,25200,1000000
"(4, 7)",1,25200,30000,1000000
"(4, 7)",0,30000,31200,1000000
"(4, 7)",1,31200,36000,1000000
"(4, 7)",0,36000,37200,1000000
"(4, 7)",1,37200,42000,1000000
"(4, 7)",0,42000,43200,1000000
"(4, 7)",2,43200,48000,1000000
"(4, 7)",0,48000,49200,1000000
"(4, 7)",1,49200,54000,1000000
"(4, 7)",0,54000,55200,1000000
"(4, 7)",2,55200,60000,1000000
"(4, 7)",0,60000,61200,1000000
"(4, 7)",1,61200,66000,1000000
"(4, 7)",0,66000,67200,1000000
"(4, 7)",2,67200,72000,1000000
"(4, 7)",0,72000,73200,1000000
"(4, 7)",0,73200,78000,1000000
"(4, 7)",0,78000,79200,1000000
"(4, 7)",0,79200,84000,1000000
"(4, 7)",0,84000,85200,1000000
"(4, 7)",1,85200,90000,1000000
"(4, 7)",0,90000,91200,1000000
"(4, 7)",2,91200,96000,1000000
"(4, 7)",0,96000,97200,1000000
"(4, 7)",1,97200,102000,1000000
"(4, 7)",0,102000,103200,1000000
"(4, 7)",1,103200,108000,1000000
"(4, 7)",0,108000,109200,1000000
"(4, 7)",0,109200,114000,1000000
"(4, 7)",0,114000,115200,1000000
"(4, 7)",0,115200,120000,1000000
"(4, 7)",0,120000,121200,1000000
"(4, 7)",0,121200,126000,1000000
"(4, 7)",0,126000,127200,1000000
"(4, 7)",0,127200,132000,1000000
"(4, 7)",0,132000,133200,1000000
"(4, 7)",0,133200,138000,1000000
"(4, 7)",0,138000,139200,1000000
"(4, 7)",0,139200,144000,1000000
"(4, 7)",0,144000,145200,1000000
